Jan 20 09:00:07.531 2026-01-20 03:30:07.531 | DEBUG    | pipecat.audio.vad.silero:__init__:147 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Loading Silero VAD model...
Jan 20 09:00:07.531 2026-01-20 03:30:07.531 | DEBUG    | __main__:run_bot:69 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Transport type: daily
Jan 20 09:00:07.531 2026-01-20 03:30:07.531 | INFO     | __main__:run_bot:68 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Starting bot session with metadata: {"session_id": "be72df20-64ea-40b2-8943-b43d6e5f7a2f", "image_version": "0.1.12"}
Jan 20 09:00:07.578 2026-01-20 03:30:07.578 | DEBUG    | pipecat.audio.vad.silero:__init__:169 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Loaded Silero VAD
Jan 20 09:00:07.579 2026-01-20 03:30:07.579 | DEBUG    | pipecat.audio.turn.smart_turn.local_smart_turn_v3:__init__:71 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Loading Local Smart Turn v3.x model from /app/.venv/lib/python3.12/site-packages/pipecat/audio/turn/smart_turn/data/smart-turn-v3.1-cpu.onnx...
Jan 20 09:00:07.612 2026-01-20 03:30:07.612 | DEBUG    | pipecat.runner.utils:_get_transport_params:399 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Using transport params for daily
Jan 20 09:00:07.612 2026-01-20 03:30:07.611 | DEBUG    | pipecat.audio.turn.smart_turn.local_smart_turn_v3:__init__:82 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Loaded Local Smart Turn v3.x
Jan 20 09:00:07.661 2026-01-20 03:30:07.660 | INFO     | bot:run_bot:104 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Starting bot
Jan 20 09:00:07.662 2026-01-20 03:30:07.662 | INFO     | bot:run_bot:209 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - 🔷 Using Azure OpenAI - Deployment: gpt-4o-mini
Jan 20 09:00:07.680 2026-01-20 03:30:07.680 | DEBUG    | pipecat.processors.frame_processor:link:528 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Linking LLMAssistantAggregator#0 -> Pipeline#0::Sink
Jan 20 09:00:07.680 2026-01-20 03:30:07.680 | DEBUG    | pipecat.processors.frame_processor:link:528 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Linking DailyOutputTransport#0 -> LLMAssistantAggregator#0
Jan 20 09:00:07.680 2026-01-20 03:30:07.680 | DEBUG    | pipecat.processors.frame_processor:link:528 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Linking MurfTTSService#0 -> DailyOutputTransport#0
Jan 20 09:00:07.680 2026-01-20 03:30:07.680 | DEBUG    | pipecat.processors.frame_processor:link:528 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Linking AzureOpenAILLMService#0 -> MurfTTSService#0
Jan 20 09:00:07.680 2026-01-20 03:30:07.680 | DEBUG    | pipecat.processors.frame_processor:link:528 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Linking LLMUserAggregator#0 -> AzureOpenAILLMService#0
Jan 20 09:00:07.680 2026-01-20 03:30:07.680 | DEBUG    | pipecat.processors.frame_processor:link:528 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Linking DeepgramSTTService#0 -> LLMUserAggregator#0
Jan 20 09:00:07.680 2026-01-20 03:30:07.680 | DEBUG    | pipecat.processors.frame_processor:link:528 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Linking RTVIProcessor#0 -> DeepgramSTTService#0
Jan 20 09:00:07.680 2026-01-20 03:30:07.680 | DEBUG    | pipecat.processors.frame_processor:link:528 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Linking DailyInputTransport#0 -> RTVIProcessor#0
Jan 20 09:00:07.680 2026-01-20 03:30:07.680 | DEBUG    | pipecat.processors.frame_processor:link:528 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Linking Pipeline#0::Source -> DailyInputTransport#0
Jan 20 09:00:07.680 2026-01-20 03:30:07.680 | INFO     | bot:run_bot:243 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - ✅ Loaded knowledge base: 13913 characters
Jan 20 09:00:07.681 2026-01-20 03:30:07.681 | DEBUG    | pipecat.audio.vad.vad_analyzer:set_params:156 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Setting VAD params to: confidence=0.7 start_secs=0.2 stop_secs=0.2 min_volume=0.6
Jan 20 09:00:07.681 2026-01-20 03:30:07.681 | DEBUG    | pipecat.pipeline.task:_wait_for_pipeline_start:602 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - PipelineTask#0: Starting. Waiting for StartFrame#0 to reach the end of the pipeline...
Jan 20 09:00:07.681 2026-01-20 03:30:07.681 | DEBUG    | pipecat.pipeline.runner:run:71 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Runner PipelineRunner#0 started running PipelineTask#0
Jan 20 09:00:07.681 2026-01-20 03:30:07.681 | DEBUG    | pipecat.processors.frame_processor:link:528 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Linking Pipeline#0 -> PipelineTask#0::Sink
Jan 20 09:00:07.681 2026-01-20 03:30:07.681 | DEBUG    | pipecat.processors.frame_processor:link:528 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Linking PipelineTask#0::Source -> Pipeline#0
Jan 20 09:00:07.682 2026-01-20 03:30:07.682 | DEBUG    | pipecat.services.deepgram.stt:_connect:216 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Connecting to Deepgram
Jan 20 09:00:07.682 2026-01-20 03:30:07.682 | INFO     | pipecat.transports.daily.transport:join:744 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Joining https://cloud-0b8f2b6384c74ec0a65537adf577a710.daily.co/YYCHrjOA5AA3rz7NpO3V
Jan 20 09:00:08.391 2026-01-20 03:30:08.391 | DEBUG    | pipecat_murf_tts.tts:_connect_websocket:293 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Connecting to Murf
Jan 20 09:00:08.391 2026-01-20 03:30:08.391 | DEBUG    | pipecat.services.deepgram.stt:_connect:243 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - DeepgramSTTService#0: Websocket connection initialized: {"headers": {'dg-project-id': 'a08e5e1e-05c4-41ea-a704-bb4589de54c6', 'dg-request-id': '3cbb2731-73d2-485e-bbf1-53fcc4009508'}}
Jan 20 09:00:08.470 2026-01-20 03:30:08.470 | DEBUG    | pipecat_murf_tts.tts:_connect_websocket:295 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Connected to Murf
Jan 20 09:00:08.471 2026-01-20 03:30:08.471 | ERROR    | pipecat.transports.daily.transport:send_message:1963 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Unable to send message: Unable to send messages before joining.
Jan 20 09:00:08.471 2026-01-20 03:30:08.471 | DEBUG    | pipecat.pipeline.task:_wait_for_pipeline_start:605 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - PipelineTask#0: StartFrame#0 reached the end of the pipeline, pipeline is now ready.
Jan 20 09:00:09.966 2026-01-20 03:30:09.966 | INFO     | pipecat.transports.daily.transport:_on_participant_joined:2615 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Participant joined c591359f-ba1e-4193-a2fa-3799979a9217
Jan 20 09:00:09.966 2026-01-20 03:30:09.966 | DEBUG    | pipecat.transports.daily.transport:start_audio_in_streaming:1606 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Start receiving audio
Jan 20 09:00:09.966 2026-01-20 03:30:09.966 | INFO     | pipecat.transports.daily.transport:join:763 | be72df20-64ea-40b2-8943-b43d6e5f7a2f - Joined https://cloud-0b8f2b6384c74ec0a65537adf577a710.daily.co/YYCHrjOA5AA3rz7NpO3V
